(365,31308)
(2912,31646)
(8175,31905)
(18944,31910)
(5864,32066)
(2314,32801)
(6421,33003)
(10383,33045)
(17914,33155)
(14332,33362)
(12635,33428)
(5844,33699)
(10733,33995)
(15202,34436)
(2041,34470)
(7387,34738)
(9760,34901)
(13678,35133)
(8454,35159)
(15005,35346)
(11436,35469)
(18022,36466)
(3999,36618)
(16858,36872)
(5591,36959)
(7416,37237)
(12188,37270)
(18626,37389)
(11642,37392)
(6413,37552)
(7738,37808)
(758,37962)
(3243,38410)
(1268,38507)
(5227,38544)
(13959,38842)
(7328,39010)
(9579,39245)
(11137,39823)
(3288,39827)
(2689,39875)
(7517,39887)
(16872,39940)
(18717,39956)
(5243,40044)
(2932,40184)
(14187,40236)
(19255,40441)
(11534,40642)
(13204,40743)
(11290,40766)
(16599,40883)
(4125,40925)
(14513,40960)
(10050,41825)
(18272,41881)
(16644,41961)
(5503,42604)
(10812,43101)
(19854,43144)
(5991,43203)
(18933,43228)
(6568,43319)
(5105,43395)
(8325,43439)
(19769,43516)
(8796,43623)
(10131,43768)
(1598,43903)
(11019,44677)
(452,44689)
(3579,44770)
(14785,44868)
(3100,45330)
(11658,45852)
(4915,45917)
(9044,45933)
(14283,45979)
(9651,46100)
(3555,46615)
(5914,46777)
(17626,46928)
(8316,47507)
(12269,47518)
(16482,47971)
(2732,47972)
(1543,48185)
(7264,48311)
(7213,48318)
(3379,48447)
(11108,48647)
(11038,48746)
(7587,48770)
(11901,49050)
(8332,49237)
(12758,49317)
(5847,49392)
(3309,49459)
(1086,49783)
(12920,49881)
(12861,49896)
(8589,50153)
(9363,50318)
(13502,50383)
(6750,50413)
(7152,50703)
(8564,50704)
(10660,50716)
(15004,50936)
(15063,50947)
(8808,50959)
(7756,51005)
(5783,51009)
(15538,51524)
(12136,51650)
(5157,51751)
(8116,52489)
(16222,52784)
(16309,52803)
(17216,53267)
(85,53396)
(17662,53427)
(5777,53620)
(16340,54027)
(10744,54070)
(1793,54452)
(4219,54855)
(5579,55175)
(7202,55507)
(7322,55546)
(8071,55654)
(9113,55837)
(9380,55898)
(10120,56044)
(11353,56219)
(12503,56424)
(12585,56425)
(12652,56453)
(13291,56605)
(13316,56618)
(13702,56724)
(15745,57168)
(15855,57193)
(16043,57217)
(16120,57237)
(18113,57542)
(18948,57674)
(19577,57784)
(19739,57821)
(19865,57851)
(980,58041)
(1798,58209)
(4812,58745)
(5210,58797)
(6212,59013)
(6509,59051)
(6733,59094)
(9837,59626)
(10672,59768)
(11910,59949)
(12682,60097)
(13313,60241)
(13575,60334)
(14166,60431)
(15194,60572)
(15337,60611)
(15405,60647)
(17082,60977)
(17117,60981)
(19752,61393)
(924,61570)
(2429,61894)
(2714,61915)
(3451,62045)
(4233,62161)
(4678,62256)
(4885,62301)
(5769,62465)
(6002,62500)
(6068,62501)
(6512,62585)
(7103,62686)
(10176,63214)
(11314,63368)
(12923,63660)
(13268,63740)
(13563,63821)
(14300,63943)
(15708,64246)
(16082,64298)
(16474,64376)
(17259,64475)
(17498,64513)
(18233,64606)
(19053,64747)
(19490,64800)
(756,65010)
(983,65051)
(1151,65077)
(1193,65094)
(2355,65311)
(2419,65329)
(2484,65332)
(6534,65988)
(6653,65999)
(7009,66053)
(7285,66131)
(7570,66166)
(8104,66251)
(8925,66382)
(9715,66514)
(10828,66676)
(11669,66812)
(14127,67269)
(14801,67360)
(14829,67363)
(15091,67401)
(15618,67558)
(17606,67865)
(18558,67989)
(143,68227)
(338,68273)
(1085,68376)
(1974,68528)
(3074,68698)
(4856,69000)
(7089,69357)
(9109,69666)
(9124,69674)
(10082,69835)
(11522,70031)
(11729,70070)
(12666,70220)
(14403,70557)
(15269,70665)
(15325,70680)
(15451,70733)
(15655,70800)
(16204,70880)
(16638,70980)
(18992,71283)
(139,71441)
(3033,71898)
(3321,71936)
(4168,72055)
(4647,72165)
(4750,72181)
(5131,72214)
(6608,72467)
(6918,72512)
(7077,72541)
(7532,72620)
(8125,72704)
(8550,72783)
(8906,72828)
(9914,72966)
(11762,73237)
(12740,73404)
(14457,73720)
(15854,73979)
(16098,74001)
(16617,74088)
(17859,74230)
(18438,74301)
(18844,74350)
(19167,74408)
(443,74594)
(2214,74874)
(4462,75212)
(6860,75573)
(7466,75673)
(7996,75742)
(8843,75861)
(9114,75889)
(9390,75935)
(9812,75997)
(10005,76011)
(10017,76024)
(12308,76350)
(13127,76473)
(15414,76874)
(16199,77014)
(16860,77115)
(18289,77276)
(18492,77309)
(176,77535)
(265,77553)
(279,77557)
(554,77586)
(1032,77648)
(1647,77751)
(3032,77958)
(5321,78295)
(5718,78361)
(5825,78397)
(6969,78530)
(9616,78891)
(12442,79280)
(12587,79295)
(14843,79685)
(14929,79695)
(15667,79863)
(17520,80094)
(18652,80220)
(19218,80300)
(19638,80348)
(528,80462)
(929,80502)
(3125,80832)
(3140,80836)
(3521,80903)
(6109,81274)
(7507,81473)
(7794,81503)
(7858,81516)
(10101,81812)
(10641,81878)
(10956,81892)
(12613,82137)
(12713,82160)
(13157,82217)
(15348,82575)
(17344,82890)
(17889,82947)
(18024,82962)
(1618,83412)
(2835,83594)
(2901,83598)
(4230,83765)
(4398,83804)
(5298,83924)
(6220,84086)
(7851,84271)
(10007,84540)
(11012,84652)
(11984,84802)
(12465,84868)
(12744,84904)
(13257,84988)
(13380,85016)
(14226,85172)
(14313,85182)
(14458,85199)
(15397,85314)
(15478,85341)
(17241,85580)
(18375,85693)
(18598,85717)
(19770,85865)
(178,85918)
(346,85940)
(1867,86135)
(2195,86181)
(4873,86541)
(6166,86726)
(6370,86762)
(8146,86953)
(9531,87135)
(10039,87195)
(10793,87278)
(11105,87299)
(11942,87409)
(12287,87469)
(12393,87486)
(13323,87612)
(13394,87634)
(15364,87897)
(15462,87923)
(1056,88573)
(1063,88578)
(1354,88627)
(3324,88877)
(3359,88886)
(3831,88950)
(4216,88990)
(7143,89391)
(9687,89698)
(11595,89908)
(11602,89910)
(13325,90130)
(13374,90136)
(14171,90286)
(14609,90308)
(15074,90347)
(15640,90469)
(15693,90473)
(16258,90535)
(16636,90606)
(17860,90720)
(19013,90840)
(19853,90936)
(59,90960)
(2168,91205)
(2323,91236)
(2656,91272)
(2798,91283)
(3611,91371)
(4564,91494)
(5622,91629)
(5809,91678)
(7922,91902)
(9012,92035)
(11433,92304)
(12911,92471)
(13387,92550)
(13671,92610)
(14429,92701)
(15086,92746)
(16437,92953)
(16465,92961)
(17169,93019)
(17647,93075)
(18442,93140)
(1428,93463)
(2347,93595)
(4036,93755)
(4110,93758)
(5475,93938)
(5552,93957)
(7057,94133)
(7402,94190)
(8242,94249)
(8390,94264)
(9178,94373)
(9242,94392)
(9515,94416)
(10097,94472)
(12170,94689)
(12795,94760)
(13001,94779)
(13764,94905)
(13851,94917)
(13909,94926)
(14695,94992)
(15356,95057)
(16259,95189)
(17526,95316)
(18981,95437)
(19591,95507)
(19833,95537)
(160,95570)
(941,95634)
(1664,95727)
(2081,95789)
(2258,95819)
(2754,95856)
(3692,95942)
(4997,96086)
(5019,96088)
(5296,96121)
(5301,96124)
(5522,96148)
(6200,96251)
(7028,96326)
(8473,96467)
(10088,96637)
(11337,96762)
(11875,96816)
(12458,96882)
(12940,96930)
(13363,96988)
(15248,97177)
(15301,97182)
(16596,97359)
(16605,97363)
(16610,97366)
(18350,97497)
(19656,97631)
(74,97674)
(566,97703)
(3014,97950)
(3207,97965)
(4771,98158)
(5537,98216)
(5615,98219)
(6191,98301)
(6198,98302)
(6325,98315)
(6634,98330)
(6691,98340)
(6887,98356)
(7023,98365)
(7108,98370)
(7248,98398)
(9742,98647)
(9976,98648)
(10255,98676)
(11451,98795)
(11583,98811)
(12208,98865)
(13504,99017)
(13729,99051)
(14022,99085)
(15464,99207)
(16385,99320)
(18167,99452)
(18982,99532)
(19296,99563)
(19549,99577)
(19594,99588)
(802,99675)
(976,99694)
(1294,99734)
(2560,99884)
(4165,99999)
(4560,100060)
(5790,100188)
(7184,100282)
(7303,100307)
(7661,100317)
(8682,100430)
(9095,100463)
(10989,100614)
(11381,100668)
(12220,100735)
(12295,100741)
(13188,100812)
(13224,100830)
(13549,100877)
(14149,100936)
(15128,101000)
(16455,101167)
(16483,101170)
(16902,101187)
(17052,101199)
(18354,101293)
(604,101466)
(1206,101520)
(1310,101531)
